skill_label,c_layer1,c_layer2,c_layer3
maintain inventory of cleaning supplies,1,3,0
calculate solar panel orientation,3,0,1
use mechanically separated meat,1,0,4
develop therapeutic relationships,0,1,1
manage standards for data exchange,10,0,0
execute proofs of alcohol mixture,1,0,1
conduct public surveys,2,0,3
apply health and safety standards,6,3,1
coordinate care of neglected animals,8,3,1
develop energy policy,3,0,2
prepare equipment for textile printing,9,2,0
perform routine maintenance of ship engines,1,2,2
digital game genres,10,1,2
sell amusement park tickets,1,8,1
vehicle trends,3,4,1
mark stone workpieces,5,0,7
handle customer complaints,2,3,4
operate bulldozer,5,1,3
conform to alcohol regulations,6,3,1
apply advanced driving techniques,1,7,0
ensure accurate screening of luggage in aerodromes,1,5,3
advise clients on interior design options,6,3,3
contact scientists,2,3,1
develop dealership forecasts,6,3,5
tend hot extrusion machine,5,4,2
make technical drawings of fashion pieces,9,0,0
advise customers on financing options for vehicles,6,0,1
operate ride panel,1,8,0
monitor vehicle fleet operations,1,1,2
grow plants,8,0,1
train gun dogs,8,2,0
train dogs,8,3,3
tend coating machine,5,0,5
keep airport runways clear of obstacles,1,5,3
pathological anatomy,0,1,6
manage allocation of flight resources,1,5,2
liaise with film exhibitors,2,2,0
scoop capsules,5,0,8
microchip scanners,8,3,1
order supplies for audiology services,6,0,7
respond to requests for logistics services from all over the world,1,2,1
maintain relationships with government agencies,2,0,5
immunology,0,1,2
assist children with special needs in education settings,0,0,1
confront offenders,1,7,0
check travel documentation,1,7,2
prepare warranty documents for audiology equipment,6,0,7
perform safety inspections,8,2,4
perform weed control operations,8,0,2
work in professional sport environment,7,3,3
provide humanitarian advice,2,0,0
monitor waste treatment equipment,3,0,1
apply good clinical practices,0,1,2
apply preservation treatments,1,0,4
cardiology,0,1,6
operate dimmer equipment,4,1,1
install solar water heater,5,1,0
adjust filament tension,9,2,2
prepare wicker material for weaving,5,2,1
drug investigations,1,7,2
conclude the psychotherapeutic relationship,0,3,1
assess the feasibility of implementing developments,2,3,0
design musical instruments,5,2,3
air passenger behaviour,1,5,2
facilitate teamwork between students,7,2,1
inspect fish eggs,8,4,3
carry out orthoptic treatments,0,1,0
create puppets,4,2,1
oversee quality control,3,0,3
conduct search engine optimisation,10,1,1
read job ticket instructions,5,3,0
mobile device management,10,2,0
test starch samples,1,0,3
customer insight,2,2,3
assist during take off and landing,1,5,2
operate handheld riveting equipment,5,4,0
explain features of electrical household appliances,6,0,0
perform on-farm product processing,8,0,1
supervise chiropractic students,0,1,8
fire the surface,5,2,2
perform online data analysis,10,1,1
report pollution incidents,8,4,1
assist in loan applications,2,4,0
measure fruits or vegetables,8,0,1
operate middlings purifier,1,0,3
performance diagnosis,0,3,0
apply health psychological measures,0,3,1
spelling,4,5,0
value-added tax law,6,2,1
deliver case notes,0,1,2
manage the general ledger,2,4,1
apply foot casts,0,1,2
environmental management monitors,3,5,1
draft accounting procedures,2,4,1
provide fertilizer recommendation for flowers,6,0,9
analyse oil operations data,3,5,0
pour concrete underwater,5,1,1
consult shipping rates,2,4,2
assist disable passengers,1,1,1
update language skills,10,4,0
manage food manufacturing laboratory,1,4,5
ensure price competitiveness,2,3,4
procurement of ICT network equipment,10,2,2
create smooth wood surface,5,2,3
3D modelling,3,4,3
put up price tags,6,1,2
principles of cargo stowage,1,2,1
tend screw machine,5,4,2
green computing,10,2,3
keep heavy construction equipment in good condition,5,1,3
control open-fire kettles,1,0,3
check the quality of raw materials at reception,1,4,1
follow manufacturing work schedule,5,0,6
finish concrete sections,5,0,6
enable patients to explore artworks,0,3,0
file-based workflow,4,3,0
contribute to registration of pharmaceutical products,3,2,2
polymer chemistry,7,1,3
provide quality assurance for meteorological services+H40,1,5,2
operate hooves trimming tools,8,1,1
manage performance light quality,4,2,1
monitor sugar uniformity,1,0,3
work in an organised manner,1,0,0
expert services in clinical psychology,0,3,1
monitor daily work,2,3,0
document management,0,1,2
install cooktops,5,1,0
follow evaluation procedures of materials at reception,1,0,3
oversee delivery of fuel,6,0,1
Apache Maven,10,3,1
types of satellites,3,4,1
apply fabric tape,5,0,7
finish shells,5,0,4
buttonholing,9,0,1
cut raw footage digitally,4,5,3
drive at high speeds,1,1,1
collaborate in the development of marketing strategies,2,2,2
evaluate information in the field of veterinary nursing,8,3,2
leadership principles,8,0,1
attach clock cases,6,4,1
call-centre technologies,2,3,0
investigate road accidents,1,7,2
manage forest fires,8,2,4
apply HACCP,1,0,1
conveyancing,2,1,2
tend to elderly people,0,0,2
adjust weight of cargo to capacity of freight transport vehicles,1,2,2
manufacturing of door furniture from metal,5,4,1
analyse the care quality,0,1,0
analyse consumer buying trends,2,2,2
tend honey extraction machine,1,0,1
maintain electromechanical equipment,3,1,0
manage lottery operations,2,3,2
footwear equipments,9,3,2
express yourself physically,4,3,1
repair furniture frames,5,2,0
trace meat products,1,0,4
operate recycling processing equipment,3,5,1
plan employees work in vehicle maintenance,2,3,0
bind wire,3,1,0
use hair removal lasers,0,1,1
notify supervisor,3,1,2
advise customers on jewellery and watches,6,0,4
prepare airport emergency plans,1,5,3
advise sportspersons on diet,0,1,7
design natural gas processing systems,3,4,0
advise on weather-related issues,3,5,3
inform customers of activity changes,6,0,3
measure materials,5,0,7
maintain sorting equipment,3,5,1
facilitate the bidding process,6,5,0
monitor fisheries,8,0,3
assist forest visitors,8,2,0
writing style guides,2,0,3
hydrotherapy,0,1,1
prevent theft,6,1,0
arrange ordering of products for customers,6,1,2
use functional programming,10,3,1
manage gas transmission system,3,0,0
provide advice on safety,1,7,0
operate jar mill,5,0,4
liaise with event sponsors,2,0,1
perform import of commodities,6,2,1
undertake genetic risk assessment,0,1,2
components of oil seeds,1,0,3
pest biology,8,0,0
clean wafers,3,1,0
philosophy,7,3,2
comply with policies for trolley bus driving,1,1,1
transportation software related to an ERP system,6,2,1
integrate strategic foundation in daily performance,2,2,1
ophthalmology,0,1,6
ensure safety in international aviation,1,5,2
present storyboard,4,3,2
organise travel arrangements for staff,2,1,0
perform laboratory testing on samples of animals,8,3,2
supervise pool activities,1,7,0
validate biomedical analysis results,0,1,2
grind meat,1,0,4
repair shoes,6,4,0
register birth,2,1,4
handle lease agreement administration,2,4,0
roofing techniques,5,1,4
tend jigger machines,5,0,1
interview focus groups,7,1,0
study aerial photos,3,5,3
manage auction house,2,3,2
use a water-fed pole system,1,3,0
perform customers’ needs analysis,2,3,0
victimology,0,3,0
mechanical components of vehicles,1,1,1
neuropsychology,0,1,5
Pentaho Data Integration,10,0,0
promote religious activities,2,0,4
manage medium term objectives,1,3,1
minimise shipping cost,6,2,3
calculate aquatic resources growth rate,8,4,2
adjust paper cutter,5,3,0
advise patients on health and lifestyle issues,0,1,8
finish plastic products,5,0,6
compare property values,2,4,0
provide spiritual counselling,2,0,4
watch video and motion picture production products,4,5,2
check stability of materials,3,4,1
manage delivery of raw materials,1,0,0
rail project financing,1,1,4
identify market niches,1,0,0
make set construction drawings,4,1,2
read heat meter,3,0,2
operate stationary steam engine,3,0,1
lottery company policies,2,3,2
keep updated on the political landscape,2,3,5
use power tools,3,1,2
participate as observer in different types of audits in the food sector,1,4,2
operate forging tongs,5,4,2
lead disaster recovery exercises,10,2,0
evacuate people from buildings,1,7,1
Puppet (tools for software configuration management),10,3,1
monitor pregnancy,0,1,4
cervical screening,0,1,2
read manuscripts,4,5,0
prototyping in the wearing apparel industry,9,0,0
perform routine flight operations checks,1,5,0
develop economic policies,2,0,5
assist audiologists with screening,0,1,5
manage sumps,5,1,3
inspect mine safety conditions,3,5,0
influence of winds and currents in the steering of ships,1,2,2
control delivered waste,3,5,1
optomechanical engineering,3,3,2
perform office routine activities,2,1,0
use audio reproduction software,4,3,4
analyse X-ray imagery,0,1,8
biotechnology in aquaculture,8,4,1
manage business knowledge,10,0,2
inject liquid foam,5,0,2
provide advice to farmers,3,4,2
cooperate with funeral directors,1,3,2
maintain library equipment,7,0,2
STAF,10,3,1
cope with unusual stimuli in the mortuary facility,0,1,2
work under supervision in care,0,1,4
provide objective assessments of calls,2,3,0
evaluate clinical outcomes of dental hygiene interventions,0,1,0
draw design sketches,3,4,0
determine loan conditions,2,4,3
promote the conservatory,7,2,3
work in conveyor belts in food manufacturing,1,0,3
loading charts for transportation of goods,5,1,2
deal with challenging work conditions,1,5,1
maneuver stone blocks,5,0,7
operate bucket wheel excavator,5,1,3
communicate with external laboratories,3,2,0
animal reproductive system,8,3,1
maintain water treatment equipment,3,0,0
data warehouse,10,0,0
use colour printing programs,5,3,2
use hand tools,3,1,0
follow the statutory obligations,2,4,1
literary theory,7,3,0
diving equipment,5,1,1
aquatic ecology,8,2,1
use a computer,3,5,0
handle veterinary emergencies,8,3,1
orthopaedic manual physiotherapy,0,1,8
oversee construction project,3,5,2
advise customers on maintaining bread products,6,0,0
Haskell,10,3,0
maintain physiotherapy equipment,0,1,8
stay up-to-date with latest book releases,6,0,6
advise on geology for mineral extraction,3,5,0
provide learning support in healthcare,0,1,8
mix sound in a live situation,4,1,3
develop patient treatment strategies,0,3,2
manage moisture of seeds,1,0,3
plant trees,8,2,4
apply insulation strips,5,1,2
construct greens and grounds,8,0,2
ensure adherence to organisational ICT standards,10,2,3
plan shots,4,3,0
perform forensic examinations,0,1,2
provide customer guidance on product selection,6,1,1
use mine planning software,3,5,0
operate hammer mill,5,0,2
install transport equipment batteries,3,1,0
hot forging,5,4,2
identify the health benefits of nutritional changes,0,1,7
products coding system,1,1,0
sale of veterinary materials,8,3,1
create cultural venue learning strategies,2,0,1
operate life-saving appliances,3,4,2
install facade cladding,5,1,4
select camera apertures,4,5,1
watering principles,8,0,1
provide multimedia content,10,1,1
ensure temperature control for fruits and vegetables,6,0,8
bingo terminology,4,4,3
manage time in agricultural production,8,1,1
plan marketing strategy,2,2,1
install floor coverings,5,2,0
respect publication formats,4,5,0
ensure contract termination and follow-up,2,3,4
feed glass fibre into pultrusion machine,5,0,3
set up advertising street furniture,1,3,0
bring out performers’ artistic potential,7,2,3
apply liquid chromatography,3,2,0
suggest well maintenance,3,5,0
operate sand blasting cabinet,5,4,0
interpret customer non-verbal communication,1,1,3
perform small vessel safety measures,3,4,2
assist at check-in,6,4,3
write job descriptions,2,1,1
produce violin bows,5,2,3
develop online sales business plan,2,3,0
inspect for unauthorised connections,3,0,2
tend deburring machine,5,4,2
standards for web-based e-learning,10,1,0
strategies for handling cases of sexual assault,0,0,1
provide necessary documents,2,1,1
conduct research on flora,8,4,1
advise customers on maintaining optical products,6,0,7
make artistic processes explicit,4,2,0
maintain laboratory dental tools,0,1,0
manufacturing of light metal packaging,5,4,1
determine boundaries,3,5,3
evaluate schools of fish,1,2,0
plan ICT capacity,10,2,1
store negatives,5,3,2
monitor composting,3,5,1
operate veneer slicer,5,3,1
operate brazing equipment,5,4,0
electrical mine machinery manuals,3,5,0
Teradata Database,10,0,0
assist customers with self-service ticketing machines,6,4,3
extinguish fires,3,4,2
estimate duration of work,10,4,1
adjust tightness of engine parts,3,1,2
remove parts of fish,1,0,4
chemical preservation,3,2,0
tend blow moulding machine,5,0,6
analyse stress resistance of materials,3,4,0
program lift controller,5,1,6
assess sound quality,4,3,4
create business process models,10,2,1
advise customers on clocks,6,4,1
melt wax,5,0,6
create mock-ups,5,2,0
ICT problem management techniques,10,2,0
interview techniques,4,5,2
plan product management,2,4,0
keep up with digital transformation of industrial processes,3,4,0
orthodontics,7,1,1
adapt instruction to labour market,7,2,2
clean tyres,5,0,0
types of plastering materials,5,1,2
